diaSourceId,ra,dec,midpointMjdTai,real,type
1257927201521665,55.76033896247246,-32.260621988648175,59583.12505122453,0,
1257927201521666,55.67407786629202,-32.28385653665403,59583.12505122453,0,
1257927201521667,55.55291422218279,-32.30639500971344,59583.12505122453,0,
1257927201521668,55.54768879039131,-32.30927775008556,59583.12505122453,0,
1257927201521669,55.5701271224762,-32.30639997605324,59583.12505122453,0,
1257927201521670,55.71941638284434,-32.29004921672444,59583.12505122453,0,
1257927201521671,55.555028187850425,-32.32253882331707,59583.12505122453,0,
1257927201521672,55.80389478812793,-32.28682656510505,59583.12505122453,0,
1257927201521673,55.79213375777808,-32.29232261704792,59583.12505122453,0,
1257927201521674,55.58679170068917,-32.32223055192782,59583.12505122453,0,
1257927201521675,55.58493945530067,-32.32261372604585,59583.12505122453,0,
1257927201521676,55.556530177215016,-32.331427350910786,59583.12505122453,0,
1257927201521677,55.62087393858633,-32.327453152498514,59583.12505122453,0,
1257927201521678,55.578825884611085,-32.33367684556559,59583.12505122453,0,
1257927201521679,55.61397829263203,-32.33314054416826,59583.12505122453,0,
1257927201521680,55.55546470935968,-32.34590806324384,59583.12505122453,0,
1257927201521683,55.55797612252,-32.3576041483384,59583.12505122453,0,
1257927201521684,55.62937000245543,-32.349831785425984,59583.12505122453,0,
1257927201521685,55.59661997630507,-32.35969096870349,59583.12505122453,0,
1257927201521686,55.658941584276754,-32.351140957689424,59583.12505122453,0,
1257927201521687,55.64233426650451,-32.35526404080254,59583.12505122453,0,
1257927201521688,55.80767403887957,-32.332949760083025,59583.12505122453,0,
1257927201521689,55.57469721248316,-32.368470177918965,59583.12505122453,0,
1257927201521690,55.68632444160175,-32.35637364637713,59583.12505122453,0,
1257927201521691,55.73516912643844,-32.34986291120951,59583.12505122453,0,
1257927201521692,55.686693520631366,-32.36500286865913,59583.12505122453,0,
1257927201521693,55.60177120931416,-32.37940184952428,59583.12505122453,0,
1257927201521694,55.62610103516475,-32.38176755480808,59583.12505122453,0,
1257927201521695,55.60251362850571,-32.3869600718705,59583.12505122453,0,
1257927201521696,55.586507156869,-32.38980247389628,59583.12505122453,0,
1257927201521697,55.63283314103168,-32.38895812734733,59583.12505122453,0,
1257927201521698,55.63731922449716,-32.388415016887045,59583.12505122453,0,
1257927201521699,55.67216119515636,-32.385458028967605,59583.12505122453,0,
1257927201521701,55.659582194365385,-32.38903306991607,59583.12505122453,0,
